feature,importance
cat__ratePlan_category_exclusive corporate rate hrs siemens,0.0
cat__ratePlan_category_exclusive corporate rate price guarantee era esthetic gmbh,0.0
cat__ratePlan_category_hrs oetker,0.0
cat__primaryGuest_address_countryCode_VI,0.0
cat__primaryGuest_address_countryCode_ZW,0.0
cat__primaryGuest_address_countryCode_SY,0.0
cat__primaryGuest_address_countryCode_TG,0.0
cat__primaryGuest_address_countryCode_VN,0.0
cat__ratePlan_category_hrs kärcher,0.0
cat__primaryGuest_address_countryCode_XK,0.0
cat__primaryGuest_address_countryCode_UY,0.0
cat__primaryGuest_address_countryCode_YE,0.0
cat__ratePlan_category_zzz special longstay,0.0
cat__primaryGuest_address_countryCode_UM,0.0
cat__primaryGuest_address_countryCode_UG,0.0
cat__ratePlan_category_hrs fair rate,0.0
cat__primaryGuest_address_countryCode_TZ,0.0
cat__primaryGuest_address_countryCode_YT,0.0
cat__primaryGuest_address_countryCode_TT,0.0
cat__channelCode_TravelPerk,0.0
cat__primaryGuest_address_countryCode_TN,0.0
cat__primaryGuest_address_countryCode_TM,0.0
cat__primaryGuest_address_countryCode_TJ,0.0
cat__primaryGuest_address_countryCode_ZM,0.0
cat__primaryGuest_address_countryCode_TH,0.0
cat__primaryGuest_address_countryCode_PS,0.0
cat__primaryGuest_address_countryCode_VG,0.0
cat__primaryGuest_address_countryCode_CG,0.0
cat__primaryGuest_address_countryCode_PR,0.0
cat__primaryGuest_address_countryCode_AQ,0.0
cat__primaryGuest_address_countryCode_GI,0.0
cat__primaryGuest_address_countryCode_GM,0.0
cat__primaryGuest_address_countryCode_AS,0.0
cat__primaryGuest_address_countryCode_GP,0.0
cat__primaryGuest_address_countryCode_GQ,0.0
cat__primaryGuest_address_countryCode_GT,0.0
cat__primaryGuest_address_countryCode_HN,0.0
cat__ratePlan_category_crc flexible shortstay,0.0
cat__primaryGuest_address_countryCode_AO,0.0
cat__primaryGuest_address_countryCode_AI,0.0
cat__primaryGuest_address_countryCode_AF,0.0
cat__primaryGuest_address_countryCode_IM,0.0
cat__primaryGuest_address_countryCode_AD,0.0
cat__primaryGuest_address_countryCode_IO,0.0
cat__primaryGuest_address_countryCode_GG,0.0
cat__primaryGuest_address_countryCode_GA,0.0
cat__primaryGuest_address_countryCode_PF,0.0
cat__ratePlan_category_crc flexible shortstay with breakfast,0.0
cat__primaryGuest_address_countryCode_CD,0.0
cat__primaryGuest_address_countryCode_CM,0.0
cat__primaryGuest_address_countryCode_BY,0.0
cat__primaryGuest_address_countryCode_CU,0.0
