feature,level,n,cancel_rate,share,lift_vs_base
cancellationFee_name,Non-refundable Shortstay ,30980,0.037346675274370564,0.17953487833005904,0.17843698763206228
cancellationFee_name,Flexible Corporate Mediumstay,1,0.0,5.795186518078084e-06,0.0
cancellationFee_name,Non-refundable Rate with Museum Pass,3,0.0,1.7385559554234253e-05,0.0
ratePlan_category,hrs vw,1,1.0,5.795186518078084e-06,4.7778546904419095
ratePlan_category,exclusive corporate rate hrs zalando,4,0.75,2.3180746072312337e-05,3.583391017831432
ratePlan_category,comp,47,0.425531914893617,0.00027237376634967,2.0331296555071954
ratePlan_category,flexible longstay,6172,0.40521710952689566,0.03576789118957794,1.9360684674003914
ratePlan_category,flexible midstay,12872,0.35231510254816656,0.0745956408607011,1.68331036522328
ratePlan_category,airbnb,13,0.3076923076923077,7.533742473501509e-05,1.4701091355205875
ratePlan_category,exclusive corporate rate hrs,1704,0.2505868544600939,0.009874997826805055,1.1972675779452437
ratePlan_category,exclusive corporate rate hrs volkswagen,1414,0.24823196605374823,0.008194393736562411,1.1860162633275178
ratePlan_category,hrs,5678,0.24656569214512153,0.032905069049647365,1.1780550487176247
ratePlan_category,exclusive corporate rate hrs consortia,588,0.24489795918367346,0.0034075696726299136,1.1700868629653656
ratePlan_category,airbnb midstay,960,0.24270833333333333,0.005563379057354961,1.1596251488260052
ratePlan_category,flexible shortstay,85304,0.24062177623558098,0.4943525907381329,1.149655882209634
ratePlan_category,flexible shortstay with breakfast box,1461,0.23340177960301164,0.008466767502912082,1.115159787433738
ratePlan_category,hrs bigger,26,0.23076923076923078,0.00015067484947003018,1.1025818516404406
ratePlan_category,other,1902,0.22187171398527866,0.011022444757384517,1.0600708093409494
ratePlan_category,stay again -25%,71,0.2112676056338028,0.000411458242783544,1.0094059205158963
ratePlan_category,flexible shortstay with breakfast,5716,0.20678796361091673,0.03312528613733433,0.9880028418653494
ratePlan_category,exclusive corporate rate goldbeck,454,0.18722466960352424,0.0026310146792074504,0.8945322658316351
ratePlan_category,hrs oetker,65,0.18461538461538463,0.0003766871236750755,0.8820654813123526
ratePlan_category,exclusive corporate rate,6225,0.18248995983935742,0.03607503607503607,0.8719105105770296
ratePlan_category,team member shortstay,98,0.15306122448979592,0.0005679282787716522,0.7313042893533536
ratePlan_category,airbnb shortstay,5286,0.1515323496027242,0.030633355934560753,0.7239995473030589
ratePlan_category,exklusive firmenrate,3085,0.1500810372771475,0.01787815040827089,0.7170653879010063
ratePlan_category,airbnb longstay,302,0.1423841059602649,0.0017501463284595815,0.6802905685066295
ratePlan_category,exclusive corporate rate hrs schüco,135,0.14074074074074075,0.0007823501799405414,0.6724388082844169
ratePlan_category,hrs big,160,0.1375,0.0009272298428924934,0.6569550199357627
ratePlan_category,family & friends shortstay,469,0.13646055437100213,0.0027179424769786216,0.6519886997617957
ratePlan_category,exclusive corporate rate with breakfast,1053,0.13485280151946819,0.006102331403536223,0.6443070902590229
ratePlan_category,hrs volkswagen,69,0.11594202898550725,0.0003998678697473878,0.5539541670077577
ratePlan_category,crc flexible shortstay with breakfast,81,0.1111111111111111,0.00046941010796432484,0.5308727433824344
ratePlan_category,crc flexible shortstay,241,0.1078838174273859,0.0013966399508568183,0.5154532031182143
